BASIS,GENDER,AGE_ATTAINED,MORTALITY_RATE
17CSO,F,16,0.0003
17CSO,M,16,0.00059
17CSO,F,17,0.00033
17CSO,M,17,0.00078
17CSO,F,18,0.00033
17CSO,M,18,0.00092
17CSO,F,19,0.00033
17CSO,M,19,0.00101
17CSO,F,20,0.00033
17CSO,M,20,0.00105
17CSO,F,21,0.00035
17CSO,M,21,0.00106
17CSO,F,22,0.00039
17CSO,M,22,0.00106
17CSO,F,23,0.00042
17CSO,M,23,0.00106
17CSO,F,24,0.00044
17CSO,M,24,0.00106
17CSO,F,25,0.00043
17CSO,M,25,0.00105
17CSO,F,26,0.00042
17CSO,M,26,0.00104
17CSO,F,27,0.00042
17CSO,M,27,0.00103
17CSO,F,28,0.00043
17CSO,M,28,0.00101
17CSO,F,29,0.00046
17CSO,M,29,0.001
17CSO,F,30,0.0005
17CSO,M,30,0.00102
17CSO,F,31,0.00053
17CSO,M,31,0.00108
17CSO,F,32,0.00057
17CSO,M,32,0.00115
17CSO,F,33,0.00062
17CSO,M,33,0.00124
17CSO,F,34,0.00069
17CSO,M,34,0.00134
17CSO,F,35,0.00077
17CSO,M,35,0.00146
17CSO,F,36,0.00086
17CSO,M,36,0.00158
17CSO,F,37,0.00095
17CSO,M,37,0.0017
17CSO,F,38,0.00104
17CSO,M,38,0.00183
17CSO,F,39,0.00111
17CSO,M,39,0.00198
17CSO,F,40,0.00117
17CSO,M,40,0.00213
17CSO,F,41,0.00122
17CSO,M,41,0.00227
17CSO,F,42,0.00126
17CSO,M,42,0.00239
17CSO,F,43,0.00131
17CSO,M,43,0.00244
17CSO,F,44,0.00136
17CSO,M,44,0.00251
17CSO,F,45,0.00144
17CSO,M,45,0.00257
17CSO,F,46,0.00155
17CSO,M,46,0.00264
17CSO,F,47,0.00167
17CSO,M,47,0.00271
17CSO,F,48,0.0018
17CSO,M,48,0.00277
17CSO,F,49,0.00194
17CSO,M,49,0.00287
17CSO,F,50,0.00211
17CSO,M,50,0.00301
17CSO,F,51,0.00228
17CSO,M,51,0.00319
17CSO,F,52,0.00248
17CSO,M,52,0.00339
17CSO,F,53,0.00271
17CSO,M,53,0.00363
17CSO,F,54,0.00295
17CSO,M,54,0.0039
17CSO,F,55,0.00322
17CSO,M,55,0.00422
17CSO,F,56,0.00353
17CSO,M,56,0.00458
17CSO,F,57,0.00387
17CSO,M,57,0.005
17CSO,F,58,0.00426
17CSO,M,58,0.00548
17CSO,F,59,0.00469
17CSO,M,59,0.00604
17CSO,F,60,0.00519
17CSO,M,60,0.00667
17CSO,F,61,0.00575
17CSO,M,61,0.0074
17CSO,F,62,0.00639
17CSO,M,62,0.00822
17CSO,F,63,0.0071
17CSO,M,63,0.00914
17CSO,F,64,0.00789
17CSO,M,64,0.01013
17CSO,F,65,0.00877
17CSO,M,65,0.01118
17CSO,F,66,0.00975
17CSO,M,66,0.0123
17CSO,F,67,0.01084
17CSO,M,67,0.0135
17CSO,F,68,0.01203
17CSO,M,68,0.01482
17CSO,F,69,0.01335
17CSO,M,69,0.01634
17CSO,F,70,0.01478
17CSO,M,70,0.01811
17CSO,F,71,0.01635
17CSO,M,71,0.0202
17CSO,F,72,0.01806
17CSO,M,72,0.02263
17CSO,F,73,0.01997
17CSO,M,73,0.02538
17CSO,F,74,0.0221
17CSO,M,74,0.02844
17CSO,F,75,0.02451
17CSO,M,75,0.03176
17CSO,F,76,0.02725
17CSO,M,76,0.03533
17CSO,F,77,0.03034
17CSO,M,77,0.03919
17CSO,F,78,0.03381
17CSO,M,78,0.04346
17CSO,F,79,0.03774
17CSO,M,79,0.04828
17CSO,F,80,0.04232
17CSO,M,80,0.05379
17CSO,F,81,0.04767
17CSO,M,81,0.05998
17CSO,F,82,0.05373
17CSO,M,82,0.06723
17CSO,F,83,0.06066
17CSO,M,83,0.07584
17CSO,F,84,0.06859
17CSO,M,84,0.08573
17CSO,F,85,0.07766
17CSO,M,85,0.09708
17CSO,F,86,0.08775
17CSO,M,86,0.10998
17CSO,F,87,0.09876
17CSO,M,87,0.12444
17CSO,F,88,0.11084
17CSO,M,88,0.14018
17CSO,F,89,0.12397
17CSO,M,89,0.15684
17CSO,F,90,0.13792
17CSO,M,90,0.17405
17CSO,F,91,0.15267
17CSO,M,91,0.19128
17CSO,F,92,0.16839
17CSO,M,92,0.20825
17CSO,F,93,0.18449
17CSO,M,93,0.22451
17CSO,F,94,0.20089
17CSO,M,94,0.23932
17CSO,F,95,0.21964
17CSO,M,95,0.25486
17CSO,F,96,0.24141
17CSO,M,96,0.27329
17CSO,F,97,0.26493
17CSO,M,97,0.29327
17CSO,F,98,0.28997
17CSO,M,98,0.31494
17CSO,F,99,0.31612
17CSO,M,99,0.33788
17CSO,F,100,0.34218
17CSO,M,100,0.36089
17CSO,F,101,0.36726
17CSO,M,101,0.38306
17CSO,F,102,0.39191
17CSO,M,102,0.40502
17CSO,F,103,0.41572
17CSO,M,103,0.42637
17CSO,F,104,0.43829
17CSO,M,104,0.44673
17CSO,F,105,0.45924
17CSO,M,105,0.4657
17CSO,F,106,0.48109
17CSO,M,106,0.48631
17CSO,F,107,0.50727
17CSO,M,107,0.51238
17CSO,F,108,0.53485
17CSO,M,108,0.53981
17CSO,F,109,0.56389
17CSO,M,109,0.56867
17CSO,F,110,0.59447
17CSO,M,110,0.59903
17CSO,F,111,0.62665
17CSO,M,111,0.63096
17CSO,F,112,0.66051
17CSO,M,112,0.66453
17CSO,F,113,0.69612
17CSO,M,113,0.69981
17CSO,F,114,0.73355
17CSO,M,114,0.73687
17CSO,F,115,0.77288
17CSO,M,115,0.77578
17CSO,F,116,0.81418
17CSO,M,116,0.8166
17CSO,F,117,0.8575
17CSO,M,117,0.8594
17CSO,F,118,0.90289
17CSO,M,118,0.90421
17CSO,F,119,0.95039
17CSO,M,119,0.95108
17CSO,F,120,1.0
17CSO,M,120,1.0
